trip_distance,passenger_count,PULocationID,DOLocationID,fare_amount,hour_of_day,is_weekend,trip_duration_min,day_of_month
9.9,1.0,236,185,31.0,9,0,28.7,30
1.4,1.0,186,161,12.5,9,0,19.2,27
0.4,2.0,74,42,4.5,7,0,3.9,6
1.61,2.0,162,68,10.0,8,0,13.683333333333334,23
5.4,1.0,164,260,17.5,2,0,16.416666666666668,6
1.6,1.0,246,68,8.0,14,0,8.1,16
0.56,1.0,239,238,4.0,20,0,2.7333333333333334,13
1.36,2.0,79,234,8.0,15,0,9.516666666666667,29
10.2,1.0,138,161,31.0,10,0,26.8,29
1.72,1.0,234,162,9.0,16,0,11.516666666666667,13
1.03,1.0,74,41,9.0,18,0,12.266666666666667,23
2.0,1.0,170,142,12.5,8,0,18.55,21
2.25,3.0,170,246,13.0,18,0,18.483333333333334,9
1.54,2.0,179,193,6.0,5,0,3.2333333333333334,8
2.87,1.0,161,236,13.0,16,0,17.25,30
1.26,1.0,246,249,7.5,18,0,8.7,27
1.2,1.0,142,230,6.5,10,0,7.016666666666667,2
0.67,1.0,166,151,5.0,9,0,4.95,9
0.55,4.0,236,263,5.5,11,0,5.833333333333333,31
2.7,1.0,170,236,12.0,18,0,14.166666666666666,13
2.01,1.0,68,144,9.5,12,1,11.133333333333333,11
2.04,1.0,246,142,9.5,20,0,10.25,30
0.7,4.0,161,229,5.5,22,0,6.066666666666666,3
2.67,2.0,163,158,13.5,22,1,19.2,11
2.86,1.0,246,229,14.5,18,0,20.5,23
2.12,1.0,170,148,10.0,13,1,12.2,19
18.67,1.0,132,143,52.0,23,1,32.833333333333336,4
1.3,2.0,236,141,7.5,15,0,8.816666666666666,29
2.1,3.0,113,233,10.0,19,0,11.966666666666667,28
1.5,1.0,229,107,6.5,10,1,5.7,11
2.3,1.0,79,233,11.5,8,0,14.433333333333334,17
1.39,1.0,161,234,11.0,9,0,15.733333333333333,30
2.98,1.0,48,236,12.0,20,0,13.4,8
9.9,2.0,107,138,28.5,12,0,19.2,15
8.79,1.0,230,196,32.0,22,0,39.0,17
1.1,4.0,13,261,6.0,19,0,6.95,17
1.74,1.0,233,100,11.5,15,0,16.316666666666666,15
0.73,1.0,90,158,4.0,23,0,2.2666666666666666,7
0.3,1.0,144,144,4.5,23,0,4.75,24
19.6,1.0,132,263,52.0,7,0,56.53333333333333,29
17.1,2.0,132,170,52.0,13,1,25.466666666666665,26
1.6,1.0,142,229,9.5,17,1,12.383333333333333,11
0.9,1.0,239,143,5.5,15,0,5.35,13
2.7,1.0,229,75,9.0,2,1,6.433333333333334,11
1.41,1.0,263,229,6.0,0,1,4.233333333333333,25
2.39,1.0,113,230,12.5,18,0,16.95,17
1.1,1.0,113,107,7.0,18,0,7.5,16
1.55,6.0,68,164,6.5,0,0,5.166666666666667,24
1.98,5.0,186,114,9.0,18,0,10.833333333333334,7
2.07,1.0,229,230,12.5,7,0,18.933333333333334,7
2.93,1.0,164,140,12.0,23,1,13.366666666666667,12
0.5,1.0,142,239,4.5,11,0,4.783333333333333,21
1.88,1.0,79,137,10.5,19,1,14.016666666666667,11
0.9,1.0,262,237,6.5,13,0,7.366666666666666,31
3.9,2.0,140,202,16.0,17,0,19.183333333333334,3
3.03,1.0,90,239,14.0,21,0,18.633333333333333,16
0.84,1.0,262,236,6.0,12,0,6.633333333333334,17
0.95,1.0,211,144,5.5,23,0,4.966666666666667,9
0.7,1.0,237,237,6.0,8,0,5.783333333333333,31
0.91,5.0,170,90,6.5,11,0,6.9,7
8.57,1.0,170,244,29.0,23,0,31.416666666666668,31
0.9,1.0,125,249,5.5,18,0,5.616666666666666,17
1.5,1.0,140,162,7.5,14,0,8.583333333333334,23
1.17,1.0,263,141,6.0,16,1,6.183333333333334,5
1.02,1.0,188,71,6.5,23,1,7.283333333333333,4
2.19,5.0,164,79,11.0,19,0,14.366666666666667,27
0.71,2.0,24,238,5.0,16,0,4.333333333333333,31
1.0,1.0,141,236,6.0,7,0,5.516666666666667,23
1.56,1.0,236,239,6.5,20,0,6.05,20
1.39,2.0,236,141,7.0,11,1,7.3,12
1.08,3.0,239,151,6.0,18,0,5.166666666666667,16
2.22,1.0,140,162,9.5,16,0,9.483333333333333,23
1.59,1.0,229,142,10.0,12,1,12.966666666666667,11
0.3,1.0,237,237,4.0,15,0,3.0,13
2.4,2.0,158,148,11.5,1,1,14.266666666666667,19
0.39,3.0,142,163,4.5,11,0,3.716666666666667,17
0.63,1.0,170,233,5.0,11,0,4.85,23
1.08,1.0,237,236,6.5,13,0,6.433333333333334,29
32.79,5.0,138,233,96.0,13,0,80.26666666666667,20
1.36,1.0,164,229,7.5,13,1,8.633333333333333,19
1.9,1.0,166,74,8.0,9,1,8.016666666666667,19
0.88,1.0,170,170,9.5,8,0,13.733333333333333,23
1.87,5.0,113,186,12.5,18,1,18.4,4
1.0,1.0,143,238,5.5,8,0,4.483333333333333,10
6.9,1.0,87,226,24.0,20,0,26.65,16
1.1,1.0,164,68,6.5,17,0,6.916666666666667,17
0.82,2.0,239,238,5.0,16,1,3.9166666666666665,25
1.4,1.0,68,79,8.5,16,0,10.216666666666667,31
3.79,1.0,211,237,16.5,13,1,22.233333333333334,26
1.66,1.0,162,236,7.5,20,0,7.566666666666666,15
1.09,3.0,236,75,6.5,13,0,7.466666666666667,30
2.1,1.0,239,262,10.5,20,1,13.1,4
0.62,5.0,141,162,7.0,9,0,9.083333333333334,10
1.9,1.0,170,246,10.5,21,0,14.3,29
1.24,2.0,90,114,8.5,18,0,11.066666666666666,24
0.51,5.0,166,151,4.0,21,0,2.7666666666666666,23
0.6,1.0,237,236,4.5,20,0,3.35,22
0.82,1.0,68,48,5.0,6,0,4.533333333333333,9
2.07,6.0,236,162,9.5,9,1,9.933333333333334,4
0.29,1.0,48,48,3.5,23,0,1.9833333333333334,10
15.6,1.0,132,181,53.5,6,0,65.2,7
0.6,1.0,144,144,55.0,21,0,10.15,10
2.68,1.0,238,229,10.0,7,0,9.8,2
0.8,1.0,87,45,5.5,22,0,5.733333333333333,24
1.0,6.0,163,237,5.5,19,1,4.183333333333334,26
0.48,1.0,43,43,4.0,0,0,2.25,15
1.9,2.0,161,68,10.0,22,0,12.7,9
0.68,4.0,238,24,4.0,16,0,2.933333333333333,17
1.46,1.0,164,48,7.5,21,0,7.783333333333333,20
1.6,3.0,261,144,9.5,13,0,12.833333333333334,9
1.8,1.0,79,170,8.0,15,1,7.75,11
8.96,1.0,161,181,29.0,15,0,28.416666666666668,1
1.7,1.0,236,229,10.5,15,0,14.233333333333333,27
7.7,1.0,138,15,23.0,23,0,17.366666666666667,3
1.1,1.0,186,234,6.0,7,0,6.733333333333333,28
21.81,1.0,132,161,52.0,13,0,53.75,10
1.79,1.0,230,237,8.0,19,1,8.1,26
1.79,3.0,158,68,9.5,20,1,11.983333333333333,4
1.58,2.0,43,43,10.5,11,0,14.45,15
5.45,2.0,186,75,21.5,17,0,30.05,22
17.7,2.0,162,1,74.0,14,0,59.8,20
1.12,5.0,237,236,7.5,17,0,8.316666666666666,29
2.22,1.0,230,137,15.5,15,0,24.1,14
1.5,2.0,45,79,7.5,0,0,8.1,1
1.46,5.0,249,186,9.0,17,1,11.716666666666667,18
6.0,1.0,237,87,18.5,19,0,12.483333333333333,13
0.68,1.0,233,137,4.0,12,0,1.65,1
8.99,1.0,132,265,25.5,19,0,17.233333333333334,13
4.72,1.0,211,142,17.5,16,1,19.4,5
2.5,1.0,237,238,11.5,17,0,13.4,15
0.7,2.0,233,137,4.0,21,0,2.15,3
3.03,1.0,164,148,14.5,9,1,18.65,18
1.47,1.0,142,237,12.0,15,0,17.95,30
1.18,1.0,79,231,6.5,22,0,7.116666666666666,15
1.05,4.0,230,186,6.0,16,1,6.25,18
0.62,2.0,151,238,4.5,9,1,2.466666666666667,5
3.27,6.0,230,113,17.0,19,0,24.616666666666667,10
2.4,1.0,138,163,14.0,10,1,24.166666666666668,5
1.0,1.0,239,151,7.5,18,0,8.416666666666666,27
2.4,1.0,237,100,11.5,13,0,13.7,28
1.45,2.0,186,50,7.0,19,1,7.0,12
7.6,1.0,141,127,23.5,21,0,17.9,30
1.18,1.0,163,143,8.5,16,0,11.1,2
11.15,1.0,138,231,38.0,10,0,42.45,24
1.4,1.0,164,48,8.5,17,0,10.7,28
3.7,2.0,186,145,15.5,22,1,18.666666666666668,18
7.8,1.0,166,79,27.5,18,0,31.166666666666668,16
1.4,1.0,229,237,9.5,15,0,12.016666666666667,7
1.26,2.0,237,140,6.0,20,1,5.083333333333333,26
0.45,2.0,48,163,4.5,21,1,3.6,18
9.47,1.0,138,238,28.5,19,0,22.4,7
0.96,5.0,263,141,5.0,12,1,4.433333333333334,11
0.74,1.0,262,236,6.5,18,0,7.383333333333334,14
0.9,1.0,170,107,6.5,19,1,8.216666666666667,11
4.87,1.0,186,262,19.5,17,1,25.533333333333335,12
20.81,1.0,132,142,52.0,5,0,48.15,6
1.95,4.0,170,230,13.5,17,0,20.016666666666666,6
5.7,1.0,87,257,19.5,19,0,16.766666666666666,10
3.0,1.0,161,238,15.0,18,0,21.85,13
3.8,1.0,142,113,14.5,21,0,16.5,22
5.93,2.0,231,239,24.0,14,0,27.766666666666666,9
1.7,1.0,140,161,10.5,10,0,15.016666666666667,23
0.34,2.0,263,236,4.0,9,0,2.8666666666666667,13
1.54,1.0,142,161,10.5,9,0,14.6,9
1.67,1.0,162,237,10.0,8,0,12.933333333333334,9
1.05,1.0,186,100,7.5,11,1,9.4,19
1.2,1.0,43,239,7.5,14,0,8.633333333333333,10
6.99,2.0,87,237,24.0,21,1,26.733333333333334,11
1.63,1.0,170,163,14.5,10,0,23.166666666666668,29
0.71,5.0,238,143,5.0,13,1,4.583333333333333,4
11.01,1.0,163,138,37.5,10,0,35.78333333333333,24
6.2,1.0,132,219,19.0,22,1,11.466666666666667,12
4.36,1.0,231,137,14.0,20,0,10.966666666666667,15
3.5,4.0,164,231,16.5,17,0,24.016666666666666,3
3.3,2.0,125,237,14.0,14,1,16.5,26
2.1,1.0,239,141,12.0,13,0,15.633333333333333,13
1.56,1.0,230,68,8.5,22,0,10.7,9
3.32,1.0,239,164,16.0,12,0,21.516666666666666,2
18.15,1.0,143,1,66.5,5,0,29.816666666666666,1
1.38,2.0,49,17,8.0,8,0,9.4,29
3.56,3.0,68,239,14.0,21,0,14.066666666666666,22
7.97,5.0,138,229,27.0,12,0,26.266666666666666,16
0.9,6.0,186,246,5.5,21,0,4.383333333333334,30
3.6,1.0,163,48,17.5,10,0,24.566666666666666,28
1.9,1.0,79,170,9.0,22,1,10.1,11
3.45,2.0,234,263,15.5,21,0,20.433333333333334,30
1.23,2.0,239,142,7.0,13,1,7.183333333333334,19
2.22,1.0,48,90,10.0,10,1,11.933333333333334,26
2.9,2.0,142,75,12.5,18,0,15.066666666666666,31
1.12,1.0,237,236,8.5,13,0,11.266666666666667,13
1.32,1.0,234,233,9.0,15,0,11.866666666666667,3
0.9,1.0,79,125,6.5,0,1,7.433333333333334,26
0.94,1.0,107,137,6.5,7,0,6.933333333333334,14
3.04,1.0,237,4,17.5,13,0,26.133333333333333,30
1.42,1.0,249,79,8.5,20,0,10.45,17
1.97,1.0,68,48,8.5,11,1,8.016666666666667,12
1.2,2.0,161,229,9.0,17,1,13.066666666666666,4
5.15,1.0,13,163,20.5,10,0,25.216666666666665,23
2.6,1.0,141,239,12.0,18,0,15.25,6
0.71,5.0,163,161,4.5,7,1,2.7666666666666666,19
2.2,1.0,142,236,11.0,18,0,12.783333333333333,13
2.19,1.0,163,236,12.5,16,0,16.15,17
2.15,1.0,226,260,10.0,21,0,10.566666666666666,27
0.8,1.0,229,141,4.0,21,0,2.15,17
1.1,3.0,239,143,6.5,10,1,6.0,12
2.1,1.0,229,262,7.5,21,0,5.816666666666666,7
0.75,3.0,142,239,5.0,17,0,4.516666666666667,30
0.3,1.0,138,138,5.0,12,1,5.15,18
1.2,2.0,249,90,7.5,20,0,8.666666666666666,24
1.32,1.0,234,211,8.0,19,1,10.533333333333333,11
1.5,1.0,230,140,8.0,1,0,8.316666666666666,9
1.1,1.0,162,237,7.0,14,0,7.266666666666667,8
16.34,3.0,164,186,52.0,16,1,60.983333333333334,11
3.3,3.0,230,148,13.0,22,0,16.533333333333335,22
0.6,1.0,107,137,5.0,11,0,4.75,9
0.57,1.0,161,229,5.5,14,0,6.15,6
8.7,1.0,263,33,28.0,23,1,27.933333333333334,18
2.0,1.0,142,141,12.0,10,0,16.733333333333334,10
0.78,5.0,186,170,6.5,14,0,7.933333333333334,14
8.7,1.0,249,116,28.5,1,1,26.233333333333334,18
8.43,1.0,163,65,30.0,13,0,30.083333333333332,6
1.42,1.0,237,161,12.0,8,0,18.383333333333333,21
1.73,1.0,238,262,8.5,10,1,8.45,11
1.33,5.0,140,236,9.5,17,0,12.45,27
3.7,1.0,143,249,17.5,14,1,24.483333333333334,26
0.42,1.0,239,239,4.5,13,1,3.5166666666666666,26
1.65,2.0,161,234,9.5,15,0,12.666666666666666,16
1.87,1.0,107,48,12.0,9,0,17.333333333333332,9
1.07,1.0,231,144,5.5,13,0,4.35,6
1.9,1.0,237,75,12.5,8,0,17.983333333333334,6
2.23,1.0,239,230,10.5,15,1,12.6,18
3.97,1.0,249,237,14.5,21,0,14.933333333333334,2
1.47,1.0,211,144,10.5,18,0,14.966666666666667,8
1.0,1.0,163,48,6.0,23,0,5.766666666666667,29
1.04,5.0,144,107,7.5,9,0,9.716666666666667,14
3.1,2.0,237,237,15.0,8,0,21.85,7
0.3,1.0,236,263,3.5,13,0,2.433333333333333,3
1.1,1.0,229,237,7.5,12,0,9.016666666666667,21
20.48,1.0,132,237,52.0,23,0,33.11666666666667,14
10.65,1.0,138,230,37.0,14,0,42.15,31
16.1,1.0,163,132,52.0,4,0,30.333333333333332,28
4.85,1.0,148,140,16.0,20,0,12.516666666666667,17
7.35,1.0,234,41,24.0,0,1,24.3,26
1.0,1.0,140,262,5.0,17,1,3.066666666666667,18
3.05,1.0,142,90,14.5,13,1,20.05,26
1.47,1.0,236,151,7.0,15,1,6.616666666666666,4
15.66,5.0,237,14,47.0,23,0,38.766666666666666,16
0.4,1.0,234,137,4.0,20,0,3.2666666666666666,24
0.7,1.0,237,140,7.5,12,0,10.066666666666666,31
1.5,1.0,143,238,9.5,12,0,12.3,7
1.1,1.0,48,100,7.0,23,0,7.833333333333333,17
0.1,1.0,230,230,3.5,22,0,2.1333333333333333,16
1.81,1.0,161,140,9.5,20,0,11.566666666666666,23
1.4,1.0,233,100,7.5,6,0,7.333333333333333,1
1.84,1.0,113,68,9.0,16,0,10.9,30
1.24,1.0,236,237,7.0,10,0,8.25,28
1.35,1.0,137,170,6.5,20,1,6.166666666666667,4
1.67,5.0,148,249,9.0,23,0,10.966666666666667,30
1.17,1.0,237,140,7.0,13,0,7.733333333333333,27
0.73,1.0,13,231,5.0,8,0,4.65,9
1.65,1.0,237,263,9.0,11,0,11.066666666666666,15
3.6,1.0,161,231,14.0,22,0,17.316666666666666,22
0.84,1.0,230,162,6.0,19,0,8.216666666666667,17
0.82,1.0,236,43,5.0,12,0,3.283333333333333,21
2.13,1.0,256,79,52.0,21,1,5.55,12
2.12,1.0,236,163,10.0,13,1,10.883333333333333,12
2.5,1.0,48,158,12.5,16,0,17.483333333333334,22
4.2,1.0,237,246,21.0,15,0,30.383333333333333,24
0.4,1.0,239,238,3.5,11,1,1.6,25
2.88,1.0,261,68,11.0,20,0,11.066666666666666,1
4.18,1.0,148,225,14.0,3,0,12.25,17
1.95,3.0,79,231,9.5,22,0,11.816666666666666,6
1.2,4.0,246,68,6.5,15,1,6.033333333333333,4
2.6,1.0,148,33,10.5,0,1,9.533333333333333,5
0.8,1.0,79,137,5.5,14,0,5.1,7
2.07,1.0,125,231,10.5,20,0,13.116666666666667,10
0.38,1.0,142,48,3.5,16,0,1.8166666666666667,2
1.75,2.0,237,75,7.0,22,1,4.483333333333333,5
0.65,1.0,141,236,5.0,12,0,4.75,23
1.34,2.0,13,88,8.0,18,0,8.433333333333334,17
5.7,1.0,144,238,24.5,17,1,34.28333333333333,11
2.29,1.0,234,229,13.0,22,0,17.616666666666667,16
1.16,1.0,163,186,5.5,7,1,4.283333333333333,19
3.85,1.0,142,234,16.0,13,0,20.216666666666665,27
1.16,1.0,143,239,6.5,17,0,6.45,22
4.2,1.0,48,4,17.5,21,0,22.466666666666665,17
0.71,4.0,237,237,5.5,11,0,6.283333333333333,29
3.6,1.0,186,13,14.0,11,1,15.416666666666666,19
1.48,1.0,236,239,8.0,14,0,8.0,20
4.39,5.0,230,236,18.0,22,0,21.283333333333335,8
1.1,6.0,236,238,6.5,20,1,6.216666666666667,26
0.8,1.0,162,43,6.5,14,0,7.783333333333333,8
2.3,1.0,186,231,10.0,20,0,11.15,21
1.27,3.0,246,234,9.5,14,0,13.733333333333333,16
0.43,5.0,107,234,4.0,15,1,3.316666666666667,26
1.2,1.0,230,233,7.5,13,0,9.433333333333334,20
2.0,1.0,164,237,9.0,6,0,9.883333333333333,14
1.3,1.0,230,237,6.0,19,0,5.05,16
12.0,1.0,138,164,34.5,9,0,21.9,1
4.6,1.0,148,80,18.5,19,0,20.283333333333335,15
0.58,1.0,75,74,5.0,18,1,5.233333333333333,18
1.2,1.0,164,161,6.0,9,1,5.483333333333333,11
2.16,1.0,238,163,10.0,15,0,11.083333333333334,3
2.75,1.0,246,144,13.5,18,0,17.95,14
1.38,2.0,48,143,7.5,22,0,7.416666666666667,15
2.5,1.0,141,234,11.5,12,1,13.8,5
5.9,1.0,186,7,24.0,20,1,30.216666666666665,11
0.5,1.0,161,48,4.5,20,0,4.133333333333334,27
1.4,1.0,230,90,6.5,23,0,6.066666666666666,8
1.57,1.0,141,236,8.0,17,0,8.9,2
7.5,1.0,236,231,26.5,11,0,25.55,9
1.3,1.0,238,166,6.5,12,0,6.583333333333333,31
0.83,2.0,162,237,6.0,20,0,5.766666666666667,7
1.5,1.0,163,48,9.0,18,0,12.466666666666667,31
2.67,6.0,236,229,13.0,22,0,16.366666666666667,24
3.09,1.0,48,151,10.0,1,0,8.116666666666667,7
1.25,1.0,137,161,7.0,10,0,7.233333333333333,22
2.56,1.0,237,186,11.0,19,0,12.9,6
1.84,1.0,125,232,8.5,18,0,8.95,14
0.78,1.0,237,236,7.0,8,0,8.233333333333333,16
1.35,4.0,161,229,7.5,18,0,9.016666666666667,30
8.07,1.0,164,190,28.0,0,1,32.28333333333333,19
2.15,5.0,79,170,13.5,0,1,19.15,11
0.94,3.0,236,43,7.5,16,0,8.85,13
18.9,1.0,132,239,52.0,20,0,47.583333333333336,8
2.59,1.0,211,100,11.0,20,0,12.766666666666667,8
1.54,1.0,229,262,7.0,10,1,6.366666666666666,5
1.7,1.0,237,161,15.5,9,0,25.4,15
1.3,2.0,170,163,7.5,20,1,8.316666666666666,25
4.5,1.0,238,113,18.5,12,1,25.05,19
1.2,2.0,234,114,7.0,17,0,7.45,9
9.63,5.0,239,17,34.0,18,1,42.78333333333333,12
1.27,1.0,94,20,7.0,3,0,7.316666666666666,24
0.46,1.0,68,68,4.0,16,0,2.8,29
0.71,1.0,237,237,5.5,9,0,4.983333333333333,7
2.5,3.0,143,140,14.0,17,0,20.883333333333333,14
2.3,1.0,79,229,9.5,20,1,9.85,26
3.45,1.0,141,202,11.5,20,0,9.966666666666667,30
1.25,1.0,50,143,6.0,23,0,4.816666666666666,3
3.39,1.0,79,162,14.5,11,0,17.866666666666667,24
0.9,2.0,170,162,5.5,14,0,5.316666666666666,27
2.61,1.0,234,231,10.0,8,1,11.283333333333333,18
10.38,1.0,93,48,52.0,13,0,36.03333333333333,8
0.8,1.0,230,163,6.0,22,0,6.45,3
3.4,1.0,237,90,21.5,16,0,34.483333333333334,2
1.83,6.0,166,238,10.5,7,0,12.983333333333333,13
4.08,2.0,234,239,21.0,14,1,31.233333333333334,25
1.15,1.0,163,164,10.5,13,0,15.816666666666666,15
1.31,1.0,79,107,6.5,2,1,5.783333333333333,18
0.6,1.0,161,237,9.0,9,0,12.933333333333334,29
2.44,1.0,142,236,10.0,19,1,11.35,18
19.2,1.0,132,166,52.0,13,1,37.53333333333333,19
1.57,1.0,75,263,7.5,16,1,7.533333333333333,12
1.0,1.0,142,238,5.5,16,0,5.4,31
1.91,1.0,113,246,11.0,12,0,14.5,17
1.8,2.0,238,166,8.5,18,0,8.666666666666666,31
1.2,1.0,43,143,8.5,10,0,11.633333333333333,17
3.49,2.0,237,249,16.5,15,1,22.9,26
1.48,1.0,164,237,7.0,12,1,6.866666666666666,12
1.1,1.0,107,233,6.0,21,0,6.033333333333333,6
0.74,1.0,151,166,6.0,10,0,6.716666666666667,16
1.05,1.0,236,236,5.5,15,0,4.9,15
1.8,2.0,186,161,12.0,9,0,18.0,29
14.2,1.0,132,226,39.0,1,1,20.933333333333334,25
1.23,2.0,236,237,6.0,9,0,4.8,2
3.22,2.0,230,263,12.0,2,0,12.933333333333334,27
6.58,2.0,186,88,26.5,13,0,31.433333333333334,21
1.1,1.0,234,186,7.0,21,0,8.55,28
2.2,2.0,90,231,9.5,16,1,10.1,4
4.4,3.0,75,186,17.5,12,0,21.0,1
2.38,1.0,189,52,12.0,18,0,16.233333333333334,22
1.1,1.0,161,170,6.0,0,0,4.95,24
1.83,2.0,142,233,10.0,12,0,12.433333333333334,7
0.67,3.0,170,186,5.0,20,0,5.5,14
1.32,2.0,186,107,7.5,17,0,8.616666666666667,17
0.9,1.0,151,166,6.0,19,0,4.833333333333333,13
0.3,2.0,239,239,4.0,16,1,2.95,18
1.21,1.0,43,161,6.5,10,0,6.366666666666666,31
0.66,1.0,170,162,5.5,8,0,5.566666666666666,3
0.9,1.0,237,236,5.5,20,0,4.716666666666667,29
0.5,1.0,186,234,5.0,8,0,5.0,10
3.2,4.0,132,10,10.5,18,0,5.6,20
2.0,2.0,142,24,10.5,12,0,11.366666666666667,16
3.06,2.0,162,148,11.5,1,0,11.083333333333334,29
1.39,1.0,170,90,6.5,9,1,6.083333333333333,25
1.6,1.0,107,161,9.0,10,0,11.0,2
1.45,1.0,229,263,6.0,22,1,3.566666666666667,4
2.77,2.0,231,4,11.0,18,0,9.683333333333334,7
0.8,1.0,237,162,5.0,20,0,4.0,28
1.99,1.0,262,237,11.0,9,0,15.316666666666666,29
0.59,1.0,141,141,4.5,19,1,3.3666666666666667,11
0.9,1.0,230,100,5.0,8,1,4.066666666666666,19
0.46,1.0,41,24,4.0,7,0,2.3666666666666667,29
1.1,1.0,137,234,6.0,14,0,4.85,1
2.54,1.0,239,186,12.5,16,1,15.983333333333333,11
1.89,5.0,236,162,8.5,8,0,9.133333333333333,24
1.6,1.0,230,246,8.5,19,0,11.266666666666667,31
1.11,1.0,90,249,5.0,8,0,3.066666666666667,3
1.8,1.0,161,107,9.0,22,0,10.85,14
2.62,1.0,140,224,9.5,21,0,6.466666666666667,8
2.12,2.0,141,236,12.5,17,0,17.666666666666668,31
1.9,1.0,100,230,13.0,17,1,18.733333333333334,4
1.9,1.0,234,161,10.5,23,0,12.433333333333334,10
0.5,2.0,141,141,5.5,14,1,6.266666666666667,12
0.7,1.0,24,238,5.0,11,0,4.0,2
0.3,1.0,237,237,3.5,16,0,1.75,20
0.57,1.0,238,238,4.5,15,1,3.433333333333333,18
3.5,2.0,163,211,16.5,16,0,22.466666666666665,17
0.58,1.0,151,238,4.5,12,0,4.15,16
1.19,3.0,186,164,9.0,14,1,13.233333333333333,18
1.11,1.0,90,164,9.0,11,0,12.8,21
1.1,2.0,229,141,6.5,12,0,7.316666666666666,29
1.15,1.0,13,261,7.0,13,0,8.633333333333333,31
1.6,2.0,239,236,7.0,21,1,5.483333333333333,19
1.07,6.0,239,142,7.0,14,0,7.916666666666667,8
1.48,1.0,107,100,9.0,12,1,10.9,25
1.63,1.0,75,74,6.5,7,0,4.383333333333334,31
1.23,1.0,164,161,10.5,9,0,15.516666666666667,17
1.98,1.0,236,229,9.5,21,0,11.2,3
0.4,1.0,234,234,4.0,7,0,2.816666666666667,27
1.11,1.0,237,140,7.0,11,0,8.3,16
1.58,1.0,262,236,8.5,20,0,8.933333333333334,30
3.24,1.0,68,239,12.5,22,0,13.133333333333333,28
0.85,1.0,161,164,6.0,19,0,6.75,28
0.74,1.0,164,164,6.0,14,0,7.1,7
0.97,1.0,186,48,8.0,12,0,17.9,23
5.38,2.0,158,40,18.5,20,0,18.416666666666668,16
2.23,1.0,233,79,10.0,21,0,10.766666666666667,14
1.8,2.0,125,90,8.0,4,1,7.016666666666667,19
2.8,1.0,247,235,16.0,18,1,22.65,11
0.2,1.0,164,161,4.0,16,0,2.85,15
1.3,5.0,233,186,8.5,13,0,10.783333333333333,22
0.57,5.0,68,90,5.0,13,0,4.683333333333334,23
2.51,1.0,148,233,10.5,0,0,10.483333333333333,20
0.62,1.0,262,263,5.0,8,0,4.9,7
6.1,1.0,234,181,26.0,15,0,38.0,15
